City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Leżajsk,50.26,22.42,54.0,62,100,12.75,PL,1588528778
Salé,34.04,-6.82,96.8,19,20,5.82,MA,1588528611
Talnakh,69.49,88.4,23.0,92,100,17.9,RU,1588528787
Khandyga,62.67,135.6,20.01,94,89,4.92,RU,1588528787
Busselton,-33.65,115.33,66.99,76,48,12.57,AU,1588528787
Vardø,70.37,31.11,35.6,93,75,9.17,NO,1588528788
Cape Town,-33.93,18.42,62.01,77,20,8.05,ZA,1588528730
Kaitangata,-46.28,169.85,57.0,56,100,6.44,NZ,1588528788
Kapaa,22.08,-159.32,75.2,78,75,18.34,US,1588528788
New Norfolk,-42.78,147.06,50.0,86,100,1.01,AU,1588528789
Mataura,-46.19,168.86,43.81,89,50,2.08,NZ,1588528789
Hofn,64.25,-15.21,44.6,56,75,13.87,IS,1588528789
Cidreira,-30.18,-50.21,67.71,58,0,7.49,BR,1588528580
Castro,-24.79,-50.01,69.66,39,23,3.02,BR,1588528790
Jamestown,42.1,-79.24,68.0,42,1,21.92,US,1588528790
Hobart,-42.88,147.33,52.0,76,40,9.17,AU,1588528512
Rikitea,-23.12,-134.97,74.44,79,99,17.09,PF,1588528790
Deputatsky,69.3,139.9,0.07,89,97,1.14,RU,1588528791
Yar-Sale,66.83,70.83,11.39,95,12,11.56,RU,1588528791
Atuona,-9.8,-139.03,81.48,74,44,17.29,PF,1588528791
Egvekinot,66.32,-179.17,14.29,94,26,0.89,RU,1588528791
Mazagão,-0.12,-51.29,89.6,66,75,6.93,BR,1588528792
Vaini,-21.2,-175.2,71.6,94,20,4.7,TO,1588528792
Lodja,-3.48,23.43,74.3,71,48,2.01,CD,1588528792
Saint-Philippe,-21.36,55.77,73.4,83,48,5.82,RE,1588528792
Punta Arenas,-53.15,-70.92,48.2,81,51,13.87,CL,1588528793
Bredasdorp,-34.53,20.04,59.0,77,96,3.36,ZA,1588528793
Vila Franca do Campo,37.72,-25.43,60.8,63,40,12.75,PT,1588528793
Cravo Norte,6.3,-70.2,83.71,75,99,3.58,CO,1588528794
Disna,55.57,28.2,52.81,76,28,4.59,BY,1588528794
Severo-Kuril'sk,50.68,156.12,35.1,86,55,11.05,RU,1588528794
Hithadhoo,-0.6,73.08,83.17,82,89,28.16,MV,1588528794
Kavieng,-2.57,150.8,81.52,78,90,5.3,PG,1588528794
Narsaq,60.92,-46.05,33.8,92,100,4.7,GL,1588528795
Lebu,-37.62,-73.65,59.79,66,100,7.16,CL,1588528795
Nikolskoye,59.7,30.79,48.99,75,44,6.71,RU,1588528795
Vaitape,-16.52,-151.75,83.68,74,94,12.97,PF,1588528795
San Patricio,19.22,-104.7,80.6,83,20,11.41,MX,1588528796
Zhuhai,22.28,113.57,80.6,88,20,13.87,CN,1588528796
Necochea,-38.55,-58.74,64.0,74,100,11.01,AR,1588528531
Arman',59.7,150.17,30.74,93,80,21.05,RU,1588528796
Labuhan,-6.88,112.21,79.97,82,61,8.01,ID,1588528797
Porto-Novo,6.5,2.6,82.4,78,20,5.82,BJ,1588528797
Jiwani,25.05,61.74,84.87,70,0,10.92,PK,1588528797
George Town,5.41,100.34,82.4,88,20,2.24,MY,1588528624
Havøysund,71.0,24.66,39.2,82,75,9.17,NO,1588528798
Camacha,33.08,-16.33,64.4,77,75,16.11,PT,1588528798
